attrition,businesstravel,dailyrate,department,distancefromhome,education,educationfield,employeecount,employeenumber,environmentsatisfaction,gender,hourlyrate,jobinvolvement,joblevel,jobrole,jobsatisfaction,maritalstatus,monthlyrate,numcompaniesworked,over18,overtime,percentsalaryhike,relationshipsatisfaction,standardhours,stockoptionlevel,totalworkingyears,trainingtimeslastyear,worklifebalance,yearsatcompany,yearssincelastpromotion,time_in_role_ratio,time_with_manager_ratio,promotion_recency,role_stagnation,mobility_gap
0,Travel_Rarely,632,Sales,21,4,Marketing,1,120,3,1,71,3,2,Sales Executive,4,Single,8423,0,Y,Yes,22,4,80,0,11,2,1,10,1,0.699999930000007,0.0,0.5,6,3
0,Travel_Rarely,1334,Sales,4,2,Medical,1,121,3,0,63,2,2,Sales Executive,2,Divorced,19760,1,Y,Yes,12,2,80,3,11,4,2,11,2,0.7272726611570308,0.636363578512402,0.3333333333333333,6,3
0,Travel_Frequently,638,Research & Development,1,3,Medical,1,124,3,1,40,2,3,Healthcare Representative,1,Married,3142,2,Y,Yes,13,3,80,1,21,5,2,10,9,0.8999999100000091,0.499999950000005,0.1,0,1
0,Travel_Rarely,1093,Sales,6,4,Medical,1,125,2,1,87,3,2,Sales Executive,3,Single,24301,1,Y,No,16,1,80,0,12,0,3,11,5,0.7272726611570308,0.636363578512402,0.16666666666666666,3,3
0,Travel_Rarely,1217,Research & Development,2,4,Technical Degree,1,126,1,0,60,3,3,Research Director,3,Married,24001,9,Y,No,12,1,80,1,16,5,1,4,0,0.7499998125000469,0.7499998125000469,1.0,3,1
0,Travel_Rarely,1353,Sales,3,2,Other,1,128,1,0,33,3,2,Sales Executive,3,Married,17519,0,Y,No,21,1,80,1,4,2,2,3,0,0.6666664444445185,0.6666664444445185,1.0,2,1
0,Non-Travel,120,Sales,4,3,Medical,1,129,2,1,43,3,2,Sales Executive,3,Married,8863,1,Y,No,15,2,80,0,5,3,4,5,0,0.799999840000032,0.799999840000032,1.0,4,1
0,Travel_Rarely,682,Sales,10,4,Medical,1,131,4,1,37,3,4,Sales Executive,3,Single,24409,0,Y,No,13,3,80,0,38,1,2,37,1,0.2702702629656686,0.21621621037253486,0.5,9,27
0,Non-Travel,489,Research & Development,23,3,Medical,1,132,2,1,67,3,2,Laboratory Technician,2,Married,25043,4,Y,No,12,3,80,1,17,3,4,3,1,0.6666664444445185,0.6666664444445185,0.5,1,1
1,Travel_Rarely,807,Human Resources,6,4,Human Resources,1,133,3,1,63,3,1,Human Resources,1,Divorced,23648,4,Y,Yes,22,4,80,0,7,3,3,3,0,0.6666664444445185,0.6666664444445185,1.0,2,1
0,Travel_Rarely,827,Research & Development,1,1,Life Sciences,1,134,4,1,71,3,1,Research Scientist,1,Single,15178,1,Y,No,13,4,80,0,1,2,3,1,0,0.0,0.0,1.0,0,1
1,Travel_Frequently,871,Research & Development,6,3,Life Sciences,1,137,4,0,66,2,1,Laboratory Technician,4,Single,19783,1,Y,Yes,18,2,80,0,1,5,3,1,1,0.0,0.0,0.5,-1,1
0,Travel_Rarely,665,Research & Development,6,4,Other,1,138,1,0,41,3,2,Research Scientist,3,Single,12482,1,Y,No,14,3,80,0,16,3,3,16,2,0.8124999492187531,0.6249999609375024,0.3333333333333333,11,3
0,Non-Travel,1040,Research & Development,2,2,Life Sciences,1,139,3,1,100,2,2,Healthcare Representative,4,Divorced,15850,5,Y,No,14,4,80,1,17,2,4,1,0,0.0,0.0,1.0,0,1
0,Non-Travel,1420,Human Resources,2,4,Human Resources,1,140,3,0,32,2,5,Manager,4,Married,21922,9,Y,No,21,4,80,1,30,3,3,3,2,0.6666664444445185,0.6666664444445185,0.3333333333333333,0,1
0,Travel_Frequently,1115,Research & Development,1,3,Life Sciences,1,141,1,0,73,3,5,Research Director,2,Married,9755,3,Y,Yes,19,1,80,0,28,1,2,8,0,0.3749999531250059,0.8749998906250137,1.0,3,5
1,Travel_Rarely,240,Sales,5,3,Marketing,1,142,3,1,46,2,2,Sales Executive,3,Single,26959,1,Y,Yes,11,4,80,0,6,1,3,6,0,0.6666665555555741,0.49999991666668053,1.0,4,2
0,Travel_Rarely,1280,Research & Development,7,1,Medical,1,143,4,1,64,2,1,Research Scientist,4,Married,26897,1,Y,No,11,3,80,2,2,2,3,2,2,0.99999950000025,0.499999750000125,0.3333333333333333,0,0
0,Travel_Rarely,534,Research & Development,15,3,Medical,1,144,2,0,59,3,1,Laboratory Technician,4,Single,23785,1,Y,No,15,3,80,0,1,5,3,0,0,0.0,0.0,1.0,0,0
0,Travel_Frequently,1456,Research & Development,1,4,Medical,1,145,1,0,30,2,3,Healthcare Representative,1,Single,25796,3,Y,No,20,3,80,0,23,1,2,13,12,0.9230768520710114,0.615384568047341,0.07692307692307693,0,1
1,Travel_Frequently,658,Research & Development,7,3,Life Sciences,1,147,1,1,66,1,2,Laboratory Technician,3,Single,22887,1,Y,Yes,24,4,80,0,9,3,3,9,0,0.7777776913580343,0.6666665925926009,1.0,7,2
0,Non-Travel,142,Human Resources,26,3,Human Resources,1,148,4,0,30,4,4,Manager,4,Single,13871,2,Y,Yes,12,3,80,0,23,3,3,5,4,0.599999880000024,0.799999840000032,0.2,-1,2
0,Travel_Rarely,1127,Research & Development,18,1,Life Sciences,1,150,2,1,52,3,1,Laboratory Technician,3,Married,13257,0,Y,No,12,3,80,1,6,2,3,5,1,0.599999880000024,0.399999920000016,0.5,2,2
0,Travel_Rarely,1031,Research & Development,6,4,Life Sciences,1,151,3,0,45,2,2,Research Scientist,2,Divorced,15000,6,Y,No,15,3,80,1,12,3,3,1,0,0.0,0.0,1.0,0,1
0,Travel_Rarely,1189,Sales,3,3,Life Sciences,1,152,3,1,87,3,3,Sales Executive,4,Single,14506,2,Y,No,12,1,80,0,12,3,3,5,1,0.599999880000024,0.599999880000024,0.5,2,2
0,Travel_Rarely,1354,Research & Development,5,3,Medical,1,153,3,0,45,2,3,Manager,1,Single,5615,2,Y,No,12,4,80,0,14,6,3,11,5,0.9090908264462886,0.7272726611570308,0.16666666666666666,5,1
0,Travel_Frequently,1467,Sales,11,2,Technical Degree,1,154,2,0,92,3,3,Sales Executive,4,Married,22952,0,Y,No,14,3,80,1,10,6,3,9,2,0.7777776913580343,0.8888887901234679,0.3333333333333333,5,2
0,Travel_Rarely,922,Research & Development,3,2,Life Sciences,1,155,1,0,39,3,1,Laboratory Technician,4,Divorced,2561,5,Y,No,22,1,80,1,7,2,3,1,0,0.0,0.0,1.0,0,1
0,Travel_Frequently,394,Sales,26,2,Life Sciences,1,158,3,1,92,3,4,Manager,4,Married,19494,1,Y,Yes,12,4,80,2,25,3,4,25,4,0.4799999808000007,0.4799999808000007,0.2,8,13
0,Travel_Frequently,1312,Research & Development,23,3,Life Sciences,1,159,1,1,96,1,1,Research Scientist,3,Divorced,22310,1,Y,No,25,3,80,3,10,2,2,10,0,0.699999930000007,0.8999999100000091,1.0,7,3
0,Non-Travel,750,Sales,22,2,Marketing,1,160,3,1,95,3,2,Sales Executive,2,Married,15480,0,Y,No,13,1,80,1,8,2,4,7,0,0.9999998571428775,0.9999998571428775,1.0,7,0
1,Travel_Rarely,441,Research & Development,14,4,Life Sciences,1,161,2,0,72,3,1,Research Scientist,2,Married,4510,9,Y,Yes,18,1,80,3,7,2,3,5,4,0.799999840000032,0.599999880000024,0.2,0,1
0,Travel_Rarely,684,Research & Development,6,3,Life Sciences,1,162,1,1,51,3,5,Research Director,3,Single,6462,7,Y,No,13,3,80,0,23,5,3,20,15,0.8999999550000022,0.7499999625000018,0.0625,3,2
